Phylum	Scientific_name_ARTER	Synonym_ARTER_1	Synonym_ARTER_2	Synonym_ARTER_3	Synonym_ARTER_4	Synonym_ARTER_5	Synonym_ARTER_6	Synonym_ARTER_7	Synonym_ARTER_8	GBIF_synonym	External_synonym	Synonym_Philip	Marine	BOLD_barcode	
Arthropoda	Amathillopsis spinigera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Ambasia atlantica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Ampelisca brevicornis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampelisca diadema	Ampelisca assimilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampelisca gibba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampelisca macrocephala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampelisca pusilla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Ampelisca spinipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampelisca tenuicornis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampelisca typica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Byblis gaimardii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Haploops setosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Haploops tenuis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Haploops tubicola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Amphilochoides boecki	Amphilochoides odontonyx	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Amphilochoides serratipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Amphilochus manudens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gitana rostrata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Gitana sarsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ampithoe rubricata	Ampithoe podoceroides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Aora typica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Autonoe longipes	Lembos longipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Lembos websteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Microdeutopus anomalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Microdeutopus gryllotalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Argissa hamatipes	Argissa typica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Aristias neglectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Perrierella audouiniana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Nototropis falcatus	Atylus falcatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Nototropis swammerdamei	Atylus swammerdami	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Nototropis vedlomensis	Atylus vedlomensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathyporeia elegans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathyporeia guilliamsoniana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Bathyporeia pelagica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathyporeia pilosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathyporeia sarsi	Bathyporeia robertsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Apherusa bispinosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Apherusa clevei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Apherusa jurinei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Apherusa ovalipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Calliopius laeviusculus	Calliopius rathkei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Calliopius rathkii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Halirages fulvocinctus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Aeginina longicornis	Aeginina echinata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Caprella ciliata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Caprella linearis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Caprella mutica	Caprella macho	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Caprella septentrionalis	Caprella monocera	 Caprella punctata	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Pariambus typicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Phtisica marina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Pseudoprotella phasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Cheirocratus assimilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Cheirocratus intermedius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Cheirocratus robustus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Cheirocratus sundevallii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cheirocratus sundevalli	x	x	
Arthropoda	Corophium volutator	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Crassicorophium bonellii	Corophium bonnellii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Crassicorophium crassicorne	Corophium crassicorne	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Leptocheirus hirsutimanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Leptocheirus pilosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Medicorophium affine	Corophium affine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Monocorophium insidiosum	Corophium insidiosum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Protomedeia fasciata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Cressa dubia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Platycyamus thompsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Dexamine spinosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Dexamine thea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Tritaeta gibbosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Dulichia falcata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Dulichia tuberculata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Dulichiopsis nordlandica	Dulichia nordlandica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Dyopedos monacanthus	Dulichia monacantha	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dyopedos monacantha	x	-	
Arthropoda	Dyopedos porrectus	Dulichia porrectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Epimeria cornigera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Eriopisa elongata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Eusirus longipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Rhachotropis helleri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Rhachotropis inflata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Rhachotropis leucophthalma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Rhachotropis macropus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarellus angulosus	Amathilla angulosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarellus homari	Amathilla homari	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Echinogammarus marinus	Gammarus marinus	 Chaetogammarus marinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarus duebeni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarus insensibilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Gammarus locusta	Gammarellus locusta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarus oceanicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarus salinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarus tigrinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammarus zaddachi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Haustorius arenarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Apohyale prevostii	Hyale prevosti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Hyale pontica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Hyperia galba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Hyperia medusarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Hyperoche medusarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Themisto abyssorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Iphimedia minuta	Panoploea minuta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Iphimedia obesa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Centraloecetes kroyeranus	Siphonoecetes kroyeranus	 Siphonoecetes colletti	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Ericthonius difformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ericthonius punctatus	Ericthonius brasiliensis	 Ericthonius abditus	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ericthonius rubricornis	Ericthonius hunteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Ischyrocerus anguipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Ischyrocerus megacheir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Jassa falcata	Jassa pulchella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Jassa pusilla	Jassa dentex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Notopoma crassicornis	Cerapus crassicornis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Parajassa pelagica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Plumulojassa ocia	Jassa ocia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Lafystius sturionis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Leucothoe lilljeborgi	Leucothoe imparicornis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Leucothoe spinicarpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Liljeborgia fissicornis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Maera loveni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Othomaera othonis	Maera othonis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Megaluropus agilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Abludomelita obtusata	Melita obtusata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Dulichiella appendiculata	Melita dentata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Melita palmata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Melphidippella macra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Microprotopus maculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Odius carinatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Arrhis phyllonyx	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathymedon longimanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathymedon obtusifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bathymedon saussurei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Deflexilodes norvegicus	Monoculodes norvegicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Kroyera carinata	Monoculodes carinatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Monoculodes packardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Perioculodes longimanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Pontocrates altamarinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Pontocrates arenarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Synchelidium haplocheles	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Synchelidium tenuimanum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Westwoodilla caecula	Westwoodilla hyalina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Normanion quadrimanus	Normanion sarsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Opisa eschrichtii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Halice abyssi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Pardalisca tenuipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Pardaliscella boecki	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Gammaropsis maculata	Eurystheus erythropthalmus	 Gammaropsis erythrophthalma	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Gammaropsis melanops	Eurystheus melanops	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Gammaropsis nitida	Podoceropsis nitida	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Megamphopus cornutus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Photis longicaudata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Photis reinhardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Harpinia antennaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Harpinia crenulata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Harpinia laevis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Harpinia pectinata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Harpinia truncata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Leptophoxus falcatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Paraphoxus oculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Phoxocephalus holbolli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phoxocephalus holboelli	x	x	
Arthropoda	Parapleustes bicuspis	Neopleustes bicuspis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Parapleustes monocuspis	Neopleustes monocuspis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Pleusymtes glaber	Sympleustes glaber	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Stenopleustes latipes	Sympleustes latipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Stenopleustes nodifera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Laetmatophilus tuberculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Xenodice frauenfeldti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Pontoporeia femorata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Scina borealis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Scopelocheirus hopei	Scopelocheirus crenatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Andaniexis abyssi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Andaniopsis nordlandica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Stegocephaloides auratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Stegocephaloides christianiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Stegocephalus inflatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Stegocephalus similis	Phippsiella similis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Hardametopa nasuta	Metopella nasuta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa alderi	Metopa spectabilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Metopa borealis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa bruzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa norvegica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa propinqua	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa pusilla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa quadrangula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa robusta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Metopa rubrovittata	Stenula rubrovittata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Proboloides calcarata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Proboloides gregaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Stenothoe marina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Stenothoe monoculoides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Stenula solsbergi	Metopa solsbergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Astyra abyssi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Syrrhoe crenulata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Syrrhoites serrata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tiron spiniferus	Tiron acanthurus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Britorchestia brito	Talorchestia brito	 Orchestoidea brito	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Deshayesorchestia deshayesii	Talorchestia deshayesi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Orchestia gammarellus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Platorchestia platensis	Orchestia platensis	 Australitroides platensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Talitrus saltator	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Trischizostoma raschii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Trischizostoma raschi	x	-	
Arthropoda	Hippomedon denticulatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Hippomedon propinqvus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hippomedon propinquus	x	x	
Arthropoda	Hippomedon robustus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Lepidepecreum longicorne	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lepidepecreum longicornis	x	-	
Arthropoda	Orchomene humilis	Orchomene batei	 Acheronia hanseni	NA	NA	NA	NA	NA	NA	NA	NA	Orchomene hanseni	x	x	
Arthropoda	Orchomene serratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Orchomenella minuta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Orchomenella obtusa	Acheronia obtusa	 Orchomene obtusa	 Orchomenopsis obtusus	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Tryphosa nana	Orchomenella nana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Tryphosella horingi	Tryphosa horringi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tryphosella nanoides	Tryphosa nanoides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tryphosella sarsi	Tryphosa sarsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tryphosella umbonatus	Pseudotryphosa umbonatus	 Uristes umbonatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tryphosites longipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Neohela monstrosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Unciola planipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Anonyx sarsi	Anonyx nugax	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Caeconyx caeculus	Tmetonyx caeculus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Centromedon pumilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Menigrates obtusifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Menigratopsis svennilssoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Onisimus edwardsii	Boeckosimus edwardsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	Onisimus edwardsi	x	-	
Arthropoda	Onisimus normani	Boeckosimus normani	 Corophium acherusicum	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tmetonyx acutus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tmetonyx cicada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Tmetonyx leucophthalmus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Tmetonyx similis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Urothoe elegans	Urothoe norvegica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Urothoe poseidonis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Bodotria pulchella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Bodotria scorpioides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Cumopsis goodsir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Iphinoe trispinosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Brachydiastylis resima	Diastylopsis resima	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Diastylis bradyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Diastylis cornuta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Diastylis echinata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Diastylis laevis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Arthropoda	Diastylis lucifera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Arthropoda	Diastylis rathkei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
